Title,Desc,Type,BodyPart,Equipment,Level,text
UP Cable Curl With Straight Bar,"The UP cable curl with straight bar is an isolation exercise targeting the biceps. Using a cable machine provides continuous tension throughout the entire range of motion, unlike free weights. It is usually performed for moderate to high reps in arm-focused workouts.",Strength,Biceps,Cable,Intermediate,"UP Cable Curl With Straight Bar The UP cable curl with straight bar is an isolation exercise targeting the biceps. Using a cable machine provides continuous tension throughout the entire range of motion, unlike free weights. It is usually performed for moderate to high reps in arm-focused workouts."
30 Arms Cable Rope Hammer Curl,"The 30 arms cable rope hammer curl is an isolation exercise targeting the brachialis and brachioradialis. The rope attachment allows for a neutral grip, which builds thickness in the outer arm while providing constant cable tension. It is usually performed for moderate reps.",Strength,Biceps,Cable,Intermediate,"30 Arms Cable Rope Hammer Curl The 30 arms cable rope hammer curl is an isolation exercise targeting the brachialis and brachioradialis. The rope attachment allows for a neutral grip, which builds thickness in the outer arm while providing constant cable tension. It is usually performed for moderate reps."
30 Arms Squatting Cable Straight-Bar Curl,The 30 arms squatting cable straight-bar curl is a hybrid exercise targeting the biceps while engaging the lower body and core. Squatting alters the angle of the curl and forces the core to stabilize the heavy pulling motion. It is usually performed for moderate reps in functional routines.,Strength,Biceps,Cable,Intermediate,30 Arms Squatting Cable Straight-Bar Curl The 30 arms squatting cable straight-bar curl is a hybrid exercise targeting the biceps while engaging the lower body and core. Squatting alters the angle of the curl and forces the core to stabilize the heavy pulling motion. It is usually performed for moderate reps in functional routines.
30 Arms High Cable Curl,"The 30 arms high cable curl is an isolation exercise targeting the biceps, particularly the short head. Curling the cables toward the head from high pulleys creates an incredible peak contraction without relying on momentum. It is typically performed for moderate to high reps.",Strength,Biceps,Cable,Intermediate,"30 Arms High Cable Curl The 30 arms high cable curl is an isolation exercise targeting the biceps, particularly the short head. Curling the cables toward the head from high pulleys creates an incredible peak contraction without relying on momentum. It is typically performed for moderate to high reps."
30 Arms Cable Straight-Bar Curl,"The 30 arms cable straight-bar curl is an isolation exercise targeting the biceps. The straight bar attachment allows for a fully supinated grip, maximizing the contraction of the bicep peak while the cable provides constant tension. It is usually performed for moderate reps.",Strength,Biceps,Cable,Intermediate,"30 Arms Cable Straight-Bar Curl The 30 arms cable straight-bar curl is an isolation exercise targeting the biceps. The straight bar attachment allows for a fully supinated grip, maximizing the contraction of the bicep peak while the cable provides constant tension. It is usually performed for moderate reps."
30 Arms Cable Concentration Curl,The 30 arms cable concentration curl is an isolation exercise targeting the bicep peak. Using a cable instead of a dumbbell ensures that the tension remains high even at the very top of the contraction. It is usually performed for moderate to high reps as a bicep finisher.,Strength,Biceps,Cable,Intermediate,30 Arms Cable Concentration Curl The 30 arms cable concentration curl is an isolation exercise targeting the bicep peak. Using a cable instead of a dumbbell ensures that the tension remains high even at the very top of the contraction. It is usually performed for moderate to high reps as a bicep finisher.
30 Arms BFR High Cable Curl,"The 30 arms BFR high cable curl is an isolation exercise targeting the biceps using blood flow restriction (BFR) training. Wrapping the upper arms restricts venous return, creating a massive pump and muscle growth with lighter weights. It is usually performed for high reps.",Strength,Biceps,Cable,Intermediate,"30 Arms BFR High Cable Curl The 30 arms BFR high cable curl is an isolation exercise targeting the biceps using blood flow restriction (BFR) training. Wrapping the upper arms restricts venous return, creating a massive pump and muscle growth with lighter weights. It is usually performed for high reps."
BFR cable rope hammer curl,"The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a cable stack, rope grip, and blood flow restriction bands. It is popular in high-rep ""pump""-style arm workouts. The bands should be placed as high as possible on your arms, at a tightness of no greater than 8 on a scale of 10. Most BFR workouts recommend using a far lighter weight than usual, perhaps as low as 25-50 percent of a normal working weight.",Strength,Biceps,Cable,Intermediate,"BFR cable rope hammer curl The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a cable stack, rope grip, and blood flow restriction bands. It is popular in high-rep ""pump""-style arm workouts. The bands should be placed as high as possible on your arms, at a tightness of no greater than 8 on a scale of 10. Most BFR workouts recommend using a far lighter weight than usual, perhaps as low as 25-50 percent of a normal working weight."
Machine Bicep Curl,"The machine bicep curl is an isolation exercise targeting the biceps. Using a machine provides a fixed, safe range of motion and continuous tension, making it easy to isolate the muscle without relying on stabilizer muscles. It is usually performed for moderate to high reps.",Strength,Biceps,Machine,Beginner,"Machine Bicep Curl The machine bicep curl is an isolation exercise targeting the biceps. Using a machine provides a fixed, safe range of motion and continuous tension, making it easy to isolate the muscle without relying on stabilizer muscles. It is usually performed for moderate to high reps."
Machine Preacher Curls,The machine preacher curl is an isolation exercise targeting the biceps.,Strength,Biceps,Machine,Beginner,Machine Preacher Curls The machine preacher curl is an isolation exercise targeting the biceps.
Single-arm machine preacher curl,"The single-arm machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Biceps,Machine,Intermediate,"Single-arm machine preacher curl The single-arm machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout."
Machine preacher curl,"The machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Biceps,Machine,Intermediate,"Machine preacher curl The machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout."
Smith machine drag curl,"The Smith machine drag curl is a biceps-focused exercise using the bar in a Smith machine. It is usually trained in moderate to high reps, at least 8-15 reps per set, and can work in the biceps-focused portion of any workout.",Strength,Biceps,Machine,Intermediate,"Smith machine drag curl The Smith machine drag curl is a biceps-focused exercise using the bar in a Smith machine. It is usually trained in moderate to high reps, at least 8-15 reps per set, and can work in the biceps-focused portion of any workout."
30 Arms BFR Machine Preacher Curl,"The 30 arms BFR machine preacher curl is an isolation exercise targeting the biceps using blood flow restriction. The preacher pad eliminates momentum, while BFR bands maximize cellular swelling and muscle hypertrophy with lighter loads. It is usually performed for high reps.",Strength,Biceps,Machine,Intermediate,"30 Arms BFR Machine Preacher Curl The 30 arms BFR machine preacher curl is an isolation exercise targeting the biceps using blood flow restriction. The preacher pad eliminates momentum, while BFR bands maximize cellular swelling and muscle hypertrophy with lighter loads. It is usually performed for high reps."
Seated Biceps,"The seated biceps exercise is an isolation movement targeting the biceps. Performing curls while seated removes leg drive and body momentum, forcing strict form and maximum bicep engagement. It is usually performed for moderate reps to maximize muscle hypertrophy.",Stretching,Biceps,Body Only,Beginner,"Seated Biceps The seated biceps exercise is an isolation movement targeting the biceps. Performing curls while seated removes leg drive and body momentum, forcing strict form and maximum bicep engagement. It is usually performed for moderate reps to maximize muscle hypertrophy."
TBS Chin-Up,"The a chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a grip that is narrower than shoulder-width. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand pull-ups. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand.",Strength,Biceps,Body Only,Intermediate,"TBS Chin-Up The a chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a grip that is narrower than shoulder-width. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand pull-ups. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand."
Pull-up - Gethin Variation,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight.",Strength,Biceps,Body Only,Intermediate,"Pull-up - Gethin Variation The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight."
UN Pull-Up Supinated,The UN pull-up supinated is a compound upper-body exercise targeting the lats and biceps. The supinated (underhand) grip shifts more of the workload onto the biceps while still heavily taxing the back. It is usually performed for moderate reps in upper-body routines.,Strength,Biceps,Body Only,Intermediate,UN Pull-Up Supinated The UN pull-up supinated is a compound upper-body exercise targeting the lats and biceps. The supinated (underhand) grip shifts more of the workload onto the biceps while still heavily taxing the back. It is usually performed for moderate reps in upper-body routines.
UN Pull-Up Pronated,The UN pull-up pronated is a compound upper-body exercise targeting the lats and upper back. The pronated (overhand) grip effectively isolates the back muscles and builds functional upper-body pulling strength. It is usually performed for moderate reps to build a wider back.,Strength,Biceps,Body Only,Intermediate,UN Pull-Up Pronated The UN pull-up pronated is a compound upper-body exercise targeting the lats and upper back. The pronated (overhand) grip effectively isolates the back muscles and builds functional upper-body pulling strength. It is usually performed for moderate reps to build a wider back.
UN Pull-Up Neutral,"The UN pull-up neutral is a compound upper-body exercise targeting the lats, brachialis, and upper back. The neutral grip is often more comfortable for the shoulders and elbows while allowing for a strong, powerful pull. It is usually performed for moderate reps in back workouts.",Strength,Biceps,Body Only,Intermediate,"UN Pull-Up Neutral The UN pull-up neutral is a compound upper-body exercise targeting the lats, brachialis, and upper back. The neutral grip is often more comfortable for the shoulders and elbows while allowing for a strong, powerful pull. It is usually performed for moderate reps in back workouts."
EZ-Bar Curl,"The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,"EZ-Bar Curl The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes."
Reverse Barbell Preacher Curls,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.",Strength,Biceps,E-Z Curl Bar,Beginner,"Reverse Barbell Preacher Curls The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar."
Close-Grip EZ-Bar Curl with Band,"The close-grip EZ-bar curl with band is an isolation exercise targeting the outer head of the biceps. Adding a resistance band to the EZ-bar creates accommodating resistance, making the movement harder at the top where the bicep contracts the most. It is usually performed for moderate reps.",Strength,Biceps,E-Z Curl Bar,Beginner,"Close-Grip EZ-Bar Curl with Band The close-grip EZ-bar curl with band is an isolation exercise targeting the outer head of the biceps. Adding a resistance band to the EZ-bar creates accommodating resistance, making the movement harder at the top where the bicep contracts the most. It is usually performed for moderate reps."
Standing EZ-Bar Curl - Gethin Variation,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,"Standing EZ-Bar Curl - Gethin Variation The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes."
TBS EZ-Bar Curl,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,"TBS EZ-Bar Curl The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes."
Standing EZ-bar curl,"The standing EZ-bar curl is a popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper-body or arm-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,"Standing EZ-bar curl The standing EZ-bar curl is a popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper-body or arm-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes."
30 Arms Standing Overhand EZ-Bar Curl,"The 30 arms standing overhand EZ-bar curl is an isolation exercise targeting the brachioradialis and forearm extensors. The overhand grip heavily taxes the forearms and outer biceps, building overall arm thickness. It is usually performed for moderate reps in arm workouts.",Strength,Biceps,E-Z Curl Bar,Intermediate,"30 Arms Standing Overhand EZ-Bar Curl The 30 arms standing overhand EZ-bar curl is an isolation exercise targeting the brachioradialis and forearm extensors. The overhand grip heavily taxes the forearms and outer biceps, building overall arm thickness. It is usually performed for moderate reps in arm workouts."
30 Arms EZ-Bar Spider Curl,The 30 arms EZ-bar spider curl is an isolation exercise targeting the short head of the biceps. Lying chest-down on an incline bench and hanging the arms straight down removes momentum and provides a massive peak contraction. It is usually performed for moderate reps.,Strength,Biceps,E-Z Curl Bar,Intermediate,30 Arms EZ-Bar Spider Curl The 30 arms EZ-bar spider curl is an isolation exercise targeting the short head of the biceps. Lying chest-down on an incline bench and hanging the arms straight down removes momentum and provides a massive peak contraction. It is usually performed for moderate reps.
30 Arms EZ-Bar Preacher Curl,"The 30 arms EZ-bar preacher curl is an isolation exercise targeting the lower portion of the biceps. The preacher pad locks the elbows in place, eliminating cheating and forcing the biceps to work through a strict range of motion. It is usually performed for moderate reps.",Strength,Biceps,E-Z Curl Bar,Intermediate,"30 Arms EZ-Bar Preacher Curl The 30 arms EZ-bar preacher curl is an isolation exercise targeting the lower portion of the biceps. The preacher pad locks the elbows in place, eliminating cheating and forcing the biceps to work through a strict range of motion. It is usually performed for moderate reps."
30 Arms Standing EZ-Bar Curl,"The 30 arms standing EZ-bar curl is an isolation exercise targeting the biceps. The cambered EZ-bar allows for a more natural wrist position compared to a straight bar, reducing joint strain while allowing for heavy lifting. It is usually performed for moderate reps to build arm mass.",Strength,Biceps,E-Z Curl Bar,Intermediate,"30 Arms Standing EZ-Bar Curl The 30 arms standing EZ-bar curl is an isolation exercise targeting the biceps. The cambered EZ-bar allows for a more natural wrist position compared to a straight bar, reducing joint strain while allowing for heavy lifting. It is usually performed for moderate reps to build arm mass."
Calf Raises - With Bands,"The calf raise with bands is an isolation exercise targeting the gastrocnemius and soleus muscles of the calves. Using a resistance band provides accommodating resistance, forcing the calves to work harder at the peak of the contraction. It is usually performed for high reps.",Strength,Calves,Bands,Beginner,"Calf Raises - With Bands The calf raise with bands is an isolation exercise targeting the gastrocnemius and soleus muscles of the calves. Using a resistance band provides accommodating resistance, forcing the calves to work harder at the peak of the contraction. It is usually performed for high reps."
Peroneals Stretch,"The peroneals stretch is a mobility exercise targeting the muscles on the outside of the lower leg. Stretching the peroneals helps prevent ankle and knee pain, especially for runners or heavy lifters. It is usually performed for time holds during a cool-down or recovery routine.",Stretching,Calves,Bands,Intermediate,"Peroneals Stretch The peroneals stretch is a mobility exercise targeting the muscles on the outside of the lower leg. Stretching the peroneals helps prevent ankle and knee pain, especially for runners or heavy lifters. It is usually performed for time holds during a cool-down or recovery routine."
Posterior Tibialis Stretch,The posterior tibialis stretch is a flexibility exercise targeting the deep muscles of the calf and inner ankle. Lengthening this area helps improve ankle mobility and supports healthy foot arches. It is typically performed for time holds post-workout.,Stretching,Calves,Bands,Intermediate,Posterior Tibialis Stretch The posterior tibialis stretch is a flexibility exercise targeting the deep muscles of the calf and inner ankle. Lengthening this area helps improve ankle mobility and supports healthy foot arches. It is typically performed for time holds post-workout.
Calf SMR,"Calf self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the calf muscles of the lower leg, some people find they can cause this often painful and tight muscle to relax or ""release."" Calf SMR is often accompanied by SMR on the quadriceps muscles, or by stretches that target the calves.",Stretching,Calves,Foam Roll,Beginner,"Calf SMR Calf self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the calf muscles of the lower leg, some people find they can cause this often painful and tight muscle to relax or ""release."" Calf SMR is often accompanied by SMR on the quadriceps muscles, or by stretches that target the calves."
Rocking Standing Calf Raise,The rocking standing calf raise is a dynamic lower-body exercise targeting the calves and anterior tibialis. Rocking back onto the heels and then up onto the toes builds balanced lower-leg strength and ankle mobility. It is usually performed for moderate to high reps.,Strength,Calves,Barbell,Beginner,Rocking Standing Calf Raise The rocking standing calf raise is a dynamic lower-body exercise targeting the calves and anterior tibialis. Rocking back onto the heels and then up onto the toes builds balanced lower-leg strength and ankle mobility. It is usually performed for moderate to high reps.
Standing barbell calf raise,"The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.",Strength,Calves,Barbell,Beginner,"Standing barbell calf raise The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem."
Barbell Seated Calf Raise,"The barbell seated calf raise is an isolation exercise targeting the soleus muscle of the calf. Placing a barbell across the thighs while seated isolates the deep lower calf, which is heavily engaged when the knee is bent. It is usually performed for moderate to high reps.",Strength,Calves,Barbell,Beginner,"Barbell Seated Calf Raise The barbell seated calf raise is an isolation exercise targeting the soleus muscle of the calf. Placing a barbell across the thighs while seated isolates the deep lower calf, which is heavily engaged when the knee is bent. It is usually performed for moderate to high reps."
Smith machine standing calf raise,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Barbell,Intermediate,"Smith machine standing calf raise The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout."
Calf Raise On A Dumbbell,"The calf raise on a dumbbell is an isolation exercise targeting the calves. Elevating the toes on a dumbbell handle provides a deeper stretch at the bottom of the movement, increasing the range of motion. It is typically performed for moderate to high reps in lower-body workouts.",Strength,Calves,Dumbbell,Beginner,"Calf Raise On A Dumbbell The calf raise on a dumbbell is an isolation exercise targeting the calves. Elevating the toes on a dumbbell handle provides a deeper stretch at the bottom of the movement, increasing the range of motion. It is typically performed for moderate to high reps in lower-body workouts."
Standing Dumbbell Calf Raise,"The standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. It can be performed for time or for reps, either two dumbbells, or one if balance is a problem and you would like to use your free hand to hold a fixed object.",Strength,Calves,Dumbbell,Intermediate,"Standing Dumbbell Calf Raise The standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. It can be performed for time or for reps, either two dumbbells, or one if balance is a problem and you would like to use your free hand to hold a fixed object."
Single-leg standing dumbbell calf raise,"The single-leg standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either with two dumbbells or with one if balance is a problem and you would like to use your free hand to hold a fixed object.",Strength,Calves,Dumbbell,Intermediate,"Single-leg standing dumbbell calf raise The single-leg standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either with two dumbbells or with one if balance is a problem and you would like to use your free hand to hold a fixed object."
Dumbbell walking calf raise,"The dumbbell walking calf raise is a dynamic exercise targeting the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for distance or for reps.",Strength,Calves,Dumbbell,Intermediate,"Dumbbell walking calf raise The dumbbell walking calf raise is a dynamic exercise targeting the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for distance or for reps."
Balance Board,"The balance board is a stability exercise targeting the core, ankles, and stabilizing muscles of the lower body. Standing and shifting weight on a balance board improves proprioception and joint health. It is typically performed for time as part of a warm-up or active recovery.",Strength,Calves,Other,Beginner,"Balance Board The balance board is a stability exercise targeting the core, ankles, and stabilizing muscles of the lower body. Standing and shifting weight on a balance board improves proprioception and joint health. It is typically performed for time as part of a warm-up or active recovery."
Weighted donkey calf raise,"The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.",Strength,Calves,Other,Intermediate,"Weighted donkey calf raise The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training."
Anterior Tibialis-SMR,The anterior tibialis-SMR is a self-myofascial release technique targeting the front of the shin. Rolling out the anterior tibialis helps relieve shin splints and improves ankle mobility for deep squats. It is typically performed for time during a warm-up or recovery routine.,Stretching,Calves,Other,Beginner,Anterior Tibialis-SMR The anterior tibialis-SMR is a self-myofascial release technique targeting the front of the shin. Rolling out the anterior tibialis helps relieve shin splints and improves ankle mobility for deep squats. It is typically performed for time during a warm-up or recovery routine.
Foot-SMR,The foot-SMR is a recovery technique targeting the plantar fascia and small muscles of the foot. Rolling a lacrosse ball or roller under the foot relieves tension and improves overall lower-body biomechanics. It is usually performed for time holds in a cool-down session.,Stretching,Calves,Other,Beginner,Foot-SMR The foot-SMR is a recovery technique targeting the plantar fascia and small muscles of the foot. Rolling a lacrosse ball or roller under the foot relieves tension and improves overall lower-body biomechanics. It is usually performed for time holds in a cool-down session.
Agility Ladder,The agility ladder is a cardiovascular and coordination drill targeting footwork and athletic agility. Rapidly stepping through the ladder patterns builds fast-twitch muscle response and elevates the heart rate. It is often performed for time in athletic conditioning or warm-ups.,Cardio,Calves,Other,Intermediate,Agility Ladder The agility ladder is a cardiovascular and coordination drill targeting footwork and athletic agility. Rapidly stepping through the ladder patterns builds fast-twitch muscle response and elevates the heart rate. It is often performed for time in athletic conditioning or warm-ups.
Single-leg machine seated calf raise,"The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.",Strength,Calves,Other,Intermediate,"Single-leg machine seated calf raise The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more."
Smith Machine Calf Raise,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Machine,Intermediate,"Smith Machine Calf Raise The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout."
Standing Calf Raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,"Standing Calf Raises The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time."
Seated Calf Raise,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,"Seated Calf Raise The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps."
Calf Press On The Leg Press Machine,"The leg press calf raise is an exercise that uses the leg press machine to work the calves. With the toes and balls of your feet on the platform but heels off, you push forward to work the calves.",Strength,Calves,Machine,Intermediate,"Calf Press On The Leg Press Machine The leg press calf raise is an exercise that uses the leg press machine to work the calves. With the toes and balls of your feet on the platform but heels off, you push forward to work the calves."
Calf Press,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,"Calf Press The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time."
Smith Machine Reverse Calf Raises,"The Smith machine reverse calf raise is an isolation exercise targeting the anterior tibialis on the front of the shin. Using the Smith machine provides balance, allowing the lifter to safely overload the shin muscles by pulling the toes upward. It is usually performed for moderate reps.",Strength,Calves,Machine,Beginner,"Smith Machine Reverse Calf Raises The Smith machine reverse calf raise is an isolation exercise targeting the anterior tibialis on the front of the shin. Using the Smith machine provides balance, allowing the lifter to safely overload the shin muscles by pulling the toes upward. It is usually performed for moderate reps."
Seated Single-Leg Calf Press - Gethin Variation,"The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.",Strength,Calves,Machine,Intermediate,"Seated Single-Leg Calf Press - Gethin Variation The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more."
Seated Calf Raise - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,"Seated Calf Raise - Gethin Variation The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps."
Donkey Calf Raise - Gethin Variation,"The donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.",Strength,Calves,Machine,Intermediate,"Donkey Calf Raise - Gethin Variation The donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training."
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,The reverse hack squat calf raise is a varation of the standing calf raise to target them in a different manner.,Strength,Calves,Machine,Intermediate,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation The reverse hack squat calf raise is a varation of the standing calf raise to target them in a different manner.
